Team,Offensive,Defensive,W/L,Opposing Off Rtg,Opposing Def Rtg,Lakers Off Rtg,lakers Def Rtg
Atlanta,-0.9,-2.9,L,113,111,113.9,115.4
Portland,1.3,2.5,W,115.2,116.4,,
Minnesoda,-0.4,-3,L,113.5,110.9,,
Minnesoda,4.4,-3.8,W,118.3,110.1,,
Sac,-2.2,1.8,W,116.1,114.1,,
Sac,2.2,0.2,W,116.1,114.1,,
Pistons,-1.7,-0.8,L,112.2,113.1,,
Golden State,-1.7,-1.5,W,112.2,112.4,,
Sac,2.2,0.2,W,116.1,114.1,,
Cleavland,-8.2,-3.9,L,122,112.5,,
Portland,-4.7,2.9,W,109.2,116.8,,
Atlanta,-0.9,-2.9,W,113,111,,
Huston,0.8,-5,L,114.7,108.9,,
Dallas,2,-1,L,115.9,112.9,,
San Antonio,-1.2,0.3,L,112.7,114.2,,
Miami,-1.1,-1.6,W,112.8,112.3,,
Brooklyn,-5.3,2.6,W,108.6,116.5,,
LA,-2.9,-6,L,111,107.9,,
Washington,-8.3,5.8,W,105.6,119.7,,
Boston,5.6,-3.5,W,119.5,110.4,,
