Team,Offensive,Defensive,W/L,Opposing Off Rtg,Opposing Def Rtg,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3 Point Goals,3 Point Goal Attempts,3 Point Goal Percentage,Free Throws,Free Throw Average,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Atlanta,-0.9,-2.9,L,113,111,265,50,100,0.5,17,40,0.425,17,22,0.773,11,37,48,40,10,5,17,24,134
Portland,1.3,2.5,W,115.2,116.4,240,35,84,0.417,9,36,0.25,19,21,0.905,12,37,49,17,4,3,18,19,98
Minnesoda,-0.4,-3,L,113.5,110.9,240,35,87,0.402,9,32,0.281,18,24,0.75,11,37,48,18,12,5,14,14,97
Minnesoda,4.4,-3.8,W,118.3,110.1,240,38,97,0.392,9,28,0.321,25,30,0.833,17,33,50,25,10,3,21,31,110
Sac,-2.2,1.8,W,116.1,114.1,240,37,82,0.451,11,29,0.379,15,22,0.682,4,39,43,27,7,6,16,20,100
Sac,2.2,0.2,W,116.1,114.1,240,39,90,0.433,10,37,0.27,11,14,0.786,11,35,46,25,10,1,14,20,99
Pistons,-1.7,-0.8,L,112.2,113.1,240,47,92,0.511,11,30,0.367,12,12,1,10,27,37,24,12,5,12,20,117
Golden State,-1.7,-1.5,W,112.2,112.4,240,41,89,0.461,18,45,0.4,13,17,0.765,12,32,44,26,2,8,13,18,113
Sac,2.2,0.2,W,116.1,114.1,240,50,98,0.51,11,40,0.275,11,15,0.733,13,26,39,38,7,2,10,26,122
Cleavland,-8.2,-3.9,L,122,112.5,240,45,93,0.484,18,46,0.391,14,17,0.824,10,38,48,32,5,8,11,15,122
Portland,-4.7,2.9,W,109.2,116.8,240,40,80,0.5,9,26,0.346,17,21,0.81,8,34,42,24,6,4,18,15,106
Atlanta,-0.9,-2.9,W,113,111,240,41,100,0.41,6,34,0.176,14,18,0.778,13,26,39,22,10,3,8,22,102
Huston,0.8,-5,L,114.7,108.9,240,38,78,0.487,16,36,0.444,23,28,0.821,10,29,39,26,4,5,10,21,115
Dallas,2,-1,L,115.9,112.9,240,45,86,0.523,18,38,0.474,10,14,0.714,11,33,44,29,7,0,13,16,118
San Antonio,-1.2,0.3,L,112.7,114.2,240,48,90,0.533,13,35,0.371,17,20,0.85,12,29,41,30,16,5,11,15,126
Miami,-1.1,-1.6,W,112.8,112.3,240,39,73,0.534,16,36,0.444,14,15,0.933,3,34,37,25,3,6,20,13,108
Brooklyn,-5.3,2.6,W,108.6,116.5,240,37,82,0.451,17,38,0.447,10,13,0.769,12,33,45,28,5,6,17,14,101
LA,-2.9,-6,L,111,107.9,240,38,76,0.5,9,27,0.333,17,19,0.895,5,28,33,26,6,6,17,14,102
Washington,-8.3,5.8,W,105.6,119.7,240,34,95,0.358,11,43,0.256,9,13,0.692,9,37,46,25,8,8,13,18,88
Boston,5.6,-3.5,W,119.5,110.4,240,35,91,0.385,14,41,0.341,12,18,0.667,11,31,42,23,5,6,7,17,96
